glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,BIF,10881,2026-07-31
101201,,BIF,2459,2026-07-31
101301,,BIF,-3213,2026-07-31
200101,,BIF,27577,2026-07-31
200102,,BIF,4400,2026-07-31
200103,,BIF,1146,2026-07-31
200104,,BIF,2252,2026-07-31
200301,,BIF,15616,2026-07-31
200401,,BIF,9127,2026-07-31
200501,,BIF,24265,2026-07-31
200502,,BIF,17614,2026-07-31
200503,,BIF,5160,2026-07-31
200601,,BIF,61292,2026-07-31
200602,,BIF,18179,2026-07-31
200603,,BIF,18373,2026-07-31
200604,,BIF,16440,2026-07-31
200605,,BIF,16502,2026-07-31
200606,,BIF,3505,2026-07-31
200607,,BIF,10796,2026-07-31
200608,,BIF,15072,2026-07-31
200609,,BIF,7908,2026-07-31
200802,,BIF,1908,2026-07-31
300101,,BIF,19104,2026-07-31
300201,,BIF,15428,2026-07-31
400101,,BIF,22286,2026-07-31
400102,,BIF,32331,2026-07-31
400103,,BIF,18677,2026-07-31
400104,,BIF,5737,2026-07-31
400105,,BIF,56638,2026-07-31
400106,,BIF,52151,2026-07-31
400107,,BIF,18107,2026-07-31
400202,,BIF,2610,2026-07-31
400301,,BIF,26648,2026-07-31
400302,,BIF,11010,2026-07-31
400401,,BIF,4270,2026-07-31
400402,,BIF,2262,2026-07-31
