glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,XAF,2248,2026-07-31
101201,,XAF,724,2026-07-31
101301,,XAF,-524,2026-07-31
200101,,XAF,5789,2026-07-31
200102,,XAF,1013,2026-07-31
200103,,XAF,393,2026-07-31
200104,,XAF,571,2026-07-31
200301,,XAF,2947,2026-07-31
200401,,XAF,3352,2026-07-31
200501,,XAF,9205,2026-07-31
200502,,XAF,6352,2026-07-31
200503,,XAF,1773,2026-07-31
200601,,XAF,15788,2026-07-31
200602,,XAF,5418,2026-07-31
200603,,XAF,4806,2026-07-31
200604,,XAF,4038,2026-07-31
200605,,XAF,4994,2026-07-31
200606,,XAF,889,2026-07-31
200607,,XAF,1744,2026-07-31
200608,,XAF,3725,2026-07-31
200609,,XAF,1687,2026-07-31
200802,,XAF,610,2026-07-31
300101,,XAF,2173,2026-07-31
300201,,XAF,1701,2026-07-31
400101,,XAF,12366,2026-07-31
400102,,XAF,14169,2026-07-31
400103,,XAF,8130,2026-07-31
400104,,XAF,3072,2026-07-31
400105,,XAF,11912,2026-07-31
400106,,XAF,10700,2026-07-31
400107,,XAF,4530,2026-07-31
400202,,XAF,1117,2026-07-31
400301,,XAF,3864,2026-07-31
400302,,XAF,2205,2026-07-31
400401,,XAF,1254,2026-07-31
400402,,XAF,349,2026-07-31
