glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,XAF,7829,2026-07-31
101201,,XAF,4340,2026-07-31
101301,,XAF,-2695,2026-07-31
200101,,XAF,29515,2026-07-31
200102,,XAF,3739,2026-07-31
200103,,XAF,1352,2026-07-31
200104,,XAF,1546,2026-07-31
200301,,XAF,13103,2026-07-31
200401,,XAF,11937,2026-07-31
200501,,XAF,29415,2026-07-31
200502,,XAF,28378,2026-07-31
200503,,XAF,6596,2026-07-31
200601,,XAF,76022,2026-07-31
200602,,XAF,17041,2026-07-31
200603,,XAF,15549,2026-07-31
200604,,XAF,13113,2026-07-31
200605,,XAF,14144,2026-07-31
200606,,XAF,3177,2026-07-31
200607,,XAF,11964,2026-07-31
200608,,XAF,15009,2026-07-31
200609,,XAF,10828,2026-07-31
200802,,XAF,3274,2026-07-31
300101,,XAF,9286,2026-07-31
300201,,XAF,6424,2026-07-31
400101,,XAF,50406,2026-07-31
400102,,XAF,51299,2026-07-31
400103,,XAF,38009,2026-07-31
400104,,XAF,12574,2026-07-31
400105,,XAF,51009,2026-07-31
400106,,XAF,43062,2026-07-31
400107,,XAF,18184,2026-07-31
400202,,XAF,2924,2026-07-31
400301,,XAF,14275,2026-07-31
400302,,XAF,9653,2026-07-31
400401,,XAF,5935,2026-07-31
400402,,XAF,2136,2026-07-31
