glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,XOF,83636,2026-07-31
101201,,XOF,30907,2026-07-31
101301,,XOF,-21650,2026-07-31
200101,,XOF,232018,2026-07-31
200102,,XOF,30399,2026-07-31
200103,,XOF,11035,2026-07-31
200104,,XOF,12965,2026-07-31
200301,,XOF,114350,2026-07-31
200401,,XOF,99960,2026-07-31
200501,,XOF,296817,2026-07-31
200502,,XOF,233128,2026-07-31
200503,,XOF,62358,2026-07-31
200601,,XOF,388920,2026-07-31
200602,,XOF,196300,2026-07-31
200603,,XOF,146297,2026-07-31
200604,,XOF,110931,2026-07-31
200605,,XOF,186695,2026-07-31
200606,,XOF,26681,2026-07-31
200607,,XOF,87359,2026-07-31
200608,,XOF,151328,2026-07-31
200609,,XOF,57563,2026-07-31
200802,,XOF,29320,2026-07-31
300101,,XOF,23011,2026-07-31
300201,,XOF,20423,2026-07-31
400101,,XOF,392988,2026-07-31
400102,,XOF,466062,2026-07-31
400103,,XOF,281972,2026-07-31
400104,,XOF,109454,2026-07-31
400105,,XOF,401981,2026-07-31
400106,,XOF,335620,2026-07-31
400107,,XOF,144131,2026-07-31
400202,,XOF,34306,2026-07-31
400301,,XOF,140157,2026-07-31
400302,,XOF,77927,2026-07-31
400303,,XOF,89856,2026-07-31
400401,,XOF,36302,2026-07-31
400402,,XOF,13127,2026-07-31
