glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,XAF,26639,2026-07-31
101201,,XAF,9557,2026-07-31
101301,,XAF,-11402,2026-07-31
200101,,XAF,94707,2026-07-31
200102,,XAF,13560,2026-07-31
200103,,XAF,5174,2026-07-31
200104,,XAF,6245,2026-07-31
200301,,XAF,65394,2026-07-31
200401,,XAF,27447,2026-07-31
200501,,XAF,128544,2026-07-31
200502,,XAF,92826,2026-07-31
200503,,XAF,36087,2026-07-31
200601,,XAF,218152,2026-07-31
200602,,XAF,77546,2026-07-31
200603,,XAF,53798,2026-07-31
200604,,XAF,60465,2026-07-31
200605,,XAF,78745,2026-07-31
200606,,XAF,11387,2026-07-31
200607,,XAF,27087,2026-07-31
200608,,XAF,64737,2026-07-31
200609,,XAF,36288,2026-07-31
200802,,XAF,9895,2026-07-31
300101,,XAF,23639,2026-07-31
300201,,XAF,18376,2026-07-31
400101,,XAF,170637,2026-07-31
400102,,XAF,220650,2026-07-31
400103,,XAF,125223,2026-07-31
400104,,XAF,47235,2026-07-31
400105,,XAF,164750,2026-07-31
400106,,XAF,160028,2026-07-31
400107,,XAF,66183,2026-07-31
400202,,XAF,17446,2026-07-31
400301,,XAF,61584,2026-07-31
400302,,XAF,33620,2026-07-31
400401,,XAF,18582,2026-07-31
400402,,XAF,4925,2026-07-31
