glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,CVE,933.89,2026-07-31
101201,,CVE,480.84,2026-07-31
101301,,CVE,-436.28,2026-07-31
200101,,CVE,3798.49,2026-07-31
200102,,CVE,530.51,2026-07-31
200103,,CVE,120.45,2026-07-31
200104,,CVE,266.44,2026-07-31
200301,,CVE,1351.31,2026-07-31
200401,,CVE,1342.72,2026-07-31
200501,,CVE,2956.07,2026-07-31
200502,,CVE,2538.79,2026-07-31
200503,,CVE,566.2,2026-07-31
200601,,CVE,5671.58,2026-07-31
200602,,CVE,1945.04,2026-07-31
200603,,CVE,1718.36,2026-07-31
200604,,CVE,1942.7,2026-07-31
200605,,CVE,2763.02,2026-07-31
200606,,CVE,443.69,2026-07-31
200607,,CVE,1521.22,2026-07-31
200608,,CVE,1313.32,2026-07-31
200609,,CVE,848.39,2026-07-31
200802,,CVE,293.68,2026-07-31
300101,,CVE,1211.75,2026-07-31
300201,,CVE,950.71,2026-07-31
400101,,CVE,5073.83,2026-07-31
400102,,CVE,5754.95,2026-07-31
400103,,CVE,3804.41,2026-07-31
400104,,CVE,1371.06,2026-07-31
400105,,CVE,4671.86,2026-07-31
400106,,CVE,4167.78,2026-07-31
400107,,CVE,1951.83,2026-07-31
400202,,CVE,499.93,2026-07-31
400301,,CVE,1533.99,2026-07-31
400302,,CVE,997.51,2026-07-31
400401,,CVE,755.7,2026-07-31
400402,,CVE,165.12,2026-07-31
