glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,XOF,11963,Dr,2026-07-31
101201,,XOF,6400,Dr,2026-07-31
200101,,XOF,48819,Dr,2026-07-31
200102,,XOF,7086,Dr,2026-07-31
200103,,XOF,1697,Dr,2026-07-31
200104,,XOF,3030,Dr,2026-07-31
200301,,XOF,29718,Dr,2026-07-31
200401,,XOF,13963,Dr,2026-07-31
200501,,XOF,60044,Dr,2026-07-31
200502,,XOF,42519,Dr,2026-07-31
200503,,XOF,11599,Dr,2026-07-31
200601,,XOF,79239,Dr,2026-07-31
200602,,XOF,29104,Dr,2026-07-31
200603,,XOF,37233,Dr,2026-07-31
200604,,XOF,31807,Dr,2026-07-31
200605,,XOF,36318,Dr,2026-07-31
200606,,XOF,3654,Dr,2026-07-31
200607,,XOF,19596,Dr,2026-07-31
200608,,XOF,23334,Dr,2026-07-31
200609,,XOF,17189,Dr,2026-07-31
200802,,XOF,5054,Dr,2026-07-31
300101,,XOF,14338,Cr,2026-07-31
300201,,XOF,10396,Cr,2026-07-31
400101,,XOF,84546,Cr,2026-07-31
400102,,XOF,89838,Cr,2026-07-31
400103,,XOF,60648,Cr,2026-07-31
400104,,XOF,19919,Cr,2026-07-31
400105,,XOF,79568,Cr,2026-07-31
400106,,XOF,65985,Cr,2026-07-31
400107,,XOF,30771,Cr,2026-07-31
400202,,XOF,6924,Cr,2026-07-31
400301,,XOF,26978,Cr,2026-07-31
400302,,XOF,14832,Cr,2026-07-31
400401,,XOF,10598,Cr,2026-07-31
400402,,XOF,4025,Cr,2026-07-31
