glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,XOF,14182,2026-07-31
101201,,XOF,5990,2026-07-31
101301,,XOF,-4590,2026-07-31
200101,,XOF,55754,2026-07-31
200102,,XOF,5862,2026-07-31
200103,,XOF,1928,2026-07-31
200104,,XOF,3501,2026-07-31
200301,,XOF,26828,2026-07-31
200401,,XOF,27236,2026-07-31
200501,,XOF,63542,2026-07-31
200502,,XOF,46176,2026-07-31
200503,,XOF,13427,2026-07-31
200601,,XOF,142791,2026-07-31
200602,,XOF,40327,2026-07-31
200603,,XOF,42696,2026-07-31
200604,,XOF,33839,2026-07-31
200605,,XOF,36420,2026-07-31
200606,,XOF,6736,2026-07-31
200607,,XOF,23779,2026-07-31
200608,,XOF,28252,2026-07-31
200609,,XOF,13159,2026-07-31
200802,,XOF,3777,2026-07-31
300101,,XOF,22117,2026-07-31
300201,,XOF,16476,2026-07-31
400101,,XOF,103360,2026-07-31
400102,,XOF,113561,2026-07-31
400103,,XOF,71578,2026-07-31
400104,,XOF,26742,2026-07-31
400105,,XOF,93078,2026-07-31
400106,,XOF,73978,2026-07-31
400107,,XOF,37248,2026-07-31
400202,,XOF,9267,2026-07-31
400301,,XOF,32302,2026-07-31
400302,,XOF,19241,2026-07-31
400401,,XOF,9168,2026-07-31
400402,,XOF,3496,2026-07-31
