glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,BIF,7661,Dr,2026-07-31
101201,,BIF,2405,Dr,2026-07-31
200101,,BIF,27577,Dr,2026-07-31
200102,,BIF,4400,Dr,2026-07-31
200103,,BIF,1146,Dr,2026-07-31
200104,,BIF,2252,Dr,2026-07-31
200301,,BIF,15616,Dr,2026-07-31
200401,,BIF,9127,Dr,2026-07-31
200501,,BIF,24265,Dr,2026-07-31
200502,,BIF,17614,Dr,2026-07-31
200503,,BIF,5160,Dr,2026-07-31
200601,,BIF,61292,Dr,2026-07-31
200602,,BIF,18179,Dr,2026-07-31
200603,,BIF,18373,Dr,2026-07-31
200604,,BIF,16440,Dr,2026-07-31
200605,,BIF,16502,Dr,2026-07-31
200606,,BIF,3505,Dr,2026-07-31
200607,,BIF,10796,Dr,2026-07-31
200608,,BIF,15072,Dr,2026-07-31
200609,,BIF,7908,Dr,2026-07-31
200802,,BIF,1908,Dr,2026-07-31
300101,,BIF,19538,Cr,2026-07-31
300201,,BIF,15777,Cr,2026-07-31
400101,,BIF,22281,Cr,2026-07-31
400102,,BIF,31533,Cr,2026-07-31
400103,,BIF,18673,Cr,2026-07-31
400104,,BIF,5736,Cr,2026-07-31
400105,,BIF,56626,Cr,2026-07-31
400106,,BIF,52141,Cr,2026-07-31
400107,,BIF,18103,Cr,2026-07-31
400202,,BIF,2609,Cr,2026-07-31
400301,,BIF,26642,Cr,2026-07-31
400302,,BIF,11008,Cr,2026-07-31
400401,,BIF,4269,Cr,2026-07-31
400402,,BIF,2262,Cr,2026-07-31
