glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,CVE,498.37,Dr,2026-07-31
101201,,CVE,546.94,Dr,2026-07-31
200101,,CVE,3798.49,Dr,2026-07-31
200102,,CVE,530.51,Dr,2026-07-31
200103,,CVE,120.45,Dr,2026-07-31
200104,,CVE,266.44,Dr,2026-07-31
200301,,CVE,1351.31,Dr,2026-07-31
200401,,CVE,1342.72,Dr,2026-07-31
200501,,CVE,2956.07,Dr,2026-07-31
200502,,CVE,2538.79,Dr,2026-07-31
200503,,CVE,566.2,Dr,2026-07-31
200601,,CVE,5671.58,Dr,2026-07-31
200602,,CVE,1945.04,Dr,2026-07-31
200603,,CVE,1718.36,Dr,2026-07-31
200604,,CVE,1942.7,Dr,2026-07-31
200605,,CVE,2763.02,Dr,2026-07-31
200606,,CVE,443.69,Dr,2026-07-31
200607,,CVE,1521.22,Dr,2026-07-31
200608,,CVE,1313.32,Dr,2026-07-31
200609,,CVE,848.39,Dr,2026-07-31
200802,,CVE,293.68,Dr,2026-07-31
300101,,CVE,833.91,Cr,2026-07-31
300201,,CVE,654.26,Cr,2026-07-31
400101,,CVE,5230.95,Cr,2026-07-31
400102,,CVE,6048.13,Cr,2026-07-31
400103,,CVE,3889.76,Cr,2026-07-31
400104,,CVE,1373.85,Cr,2026-07-31
400105,,CVE,4956.99,Cr,2026-07-31
400106,,CVE,4073.37,Cr,2026-07-31
400107,,CVE,1955.79,Cr,2026-07-31
400202,,CVE,500.95,Cr,2026-07-31
400301,,CVE,1537.11,Cr,2026-07-31
400302,,CVE,999.53,Cr,2026-07-31
400401,,CVE,757.24,Cr,2026-07-31
400402,,CVE,165.45,Cr,2026-07-31
