glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,XAF,15207,Dr,2026-07-31
101201,,XAF,9557,Dr,2026-07-31
200101,,XAF,94707,Dr,2026-07-31
200102,,XAF,13560,Dr,2026-07-31
200103,,XAF,5174,Dr,2026-07-31
200104,,XAF,6245,Dr,2026-07-31
200301,,XAF,65394,Dr,2026-07-31
200401,,XAF,27447,Dr,2026-07-31
200501,,XAF,128544,Dr,2026-07-31
200502,,XAF,92826,Dr,2026-07-31
200503,,XAF,36087,Dr,2026-07-31
200601,,XAF,218152,Dr,2026-07-31
200602,,XAF,77546,Dr,2026-07-31
200603,,XAF,53798,Dr,2026-07-31
200604,,XAF,60465,Dr,2026-07-31
200605,,XAF,78745,Dr,2026-07-31
200606,,XAF,11387,Dr,2026-07-31
200607,,XAF,27087,Dr,2026-07-31
200608,,XAF,64737,Dr,2026-07-31
200609,,XAF,36288,Dr,2026-07-31
200802,,XAF,9895,Dr,2026-07-31
300101,,XAF,23637,Cr,2026-07-31
300201,,XAF,18375,Cr,2026-07-31
400101,,XAF,170633,Cr,2026-07-31
400102,,XAF,220645,Cr,2026-07-31
400103,,XAF,125220,Cr,2026-07-31
400104,,XAF,47234,Cr,2026-07-31
400105,,XAF,164746,Cr,2026-07-31
400106,,XAF,160023,Cr,2026-07-31
400107,,XAF,66182,Cr,2026-07-31
400202,,XAF,17446,Cr,2026-07-31
400301,,XAF,61582,Cr,2026-07-31
400302,,XAF,33619,Cr,2026-07-31
400401,,XAF,18581,Cr,2026-07-31
400402,,XAF,4925,Cr,2026-07-31
