glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,XAF,1336,Dr,2026-07-31
101201,,XAF,591,Dr,2026-07-31
200101,,XAF,5789,Dr,2026-07-31
200102,,XAF,1013,Dr,2026-07-31
200103,,XAF,393,Dr,2026-07-31
200104,,XAF,571,Dr,2026-07-31
200301,,XAF,2947,Dr,2026-07-31
200401,,XAF,3352,Dr,2026-07-31
200501,,XAF,9205,Dr,2026-07-31
200502,,XAF,6352,Dr,2026-07-31
200503,,XAF,1773,Dr,2026-07-31
200601,,XAF,15788,Dr,2026-07-31
200602,,XAF,5418,Dr,2026-07-31
200603,,XAF,4806,Dr,2026-07-31
200604,,XAF,4038,Dr,2026-07-31
200605,,XAF,4994,Dr,2026-07-31
200606,,XAF,889,Dr,2026-07-31
200607,,XAF,1744,Dr,2026-07-31
200608,,XAF,3725,Dr,2026-07-31
200609,,XAF,1687,Dr,2026-07-31
200802,,XAF,610,Dr,2026-07-31
300101,,XAF,2622,Cr,2026-07-31
300201,,XAF,2054,Cr,2026-07-31
400101,,XAF,12283,Cr,2026-07-31
400102,,XAF,13247,Cr,2026-07-31
400103,,XAF,8076,Cr,2026-07-31
400104,,XAF,3051,Cr,2026-07-31
400105,,XAF,11832,Cr,2026-07-31
400106,,XAF,10626,Cr,2026-07-31
400107,,XAF,4500,Cr,2026-07-31
400202,,XAF,1109,Cr,2026-07-31
400301,,XAF,3838,Cr,2026-07-31
400302,,XAF,2190,Cr,2026-07-31
400401,,XAF,1246,Cr,2026-07-31
400402,,XAF,347,Cr,2026-07-31
