glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,XAF,3648,Dr,2026-07-31
101201,,XAF,1954,Dr,2026-07-31
200101,,XAF,18007,Dr,2026-07-31
200102,,XAF,2046,Dr,2026-07-31
200103,,XAF,710,Dr,2026-07-31
200104,,XAF,1161,Dr,2026-07-31
200301,,XAF,7364,Dr,2026-07-31
200401,,XAF,9554,Dr,2026-07-31
200501,,XAF,23279,Dr,2026-07-31
200502,,XAF,16813,Dr,2026-07-31
200503,,XAF,2452,Dr,2026-07-31
200601,,XAF,31030,Dr,2026-07-31
200602,,XAF,11815,Dr,2026-07-31
200603,,XAF,15203,Dr,2026-07-31
200604,,XAF,11442,Dr,2026-07-31
200605,,XAF,11102,Dr,2026-07-31
200606,,XAF,1592,Dr,2026-07-31
200607,,XAF,7041,Dr,2026-07-31
200608,,XAF,6678,Dr,2026-07-31
200609,,XAF,4998,Dr,2026-07-31
200802,,XAF,1685,Dr,2026-07-31
300101,,XAF,7175,Cr,2026-07-31
300201,,XAF,7203,Cr,2026-07-31
400101,,XAF,15575,Cr,2026-07-31
400102,,XAF,23626,Cr,2026-07-31
400103,,XAF,10674,Cr,2026-07-31
400104,,XAF,4151,Cr,2026-07-31
400105,,XAF,38352,Cr,2026-07-31
400106,,XAF,36158,Cr,2026-07-31
400107,,XAF,12766,Cr,2026-07-31
400202,,XAF,1769,Cr,2026-07-31
400301,,XAF,19700,Cr,2026-07-31
400302,,XAF,7669,Cr,2026-07-31
400401,,XAF,3888,Cr,2026-07-31
400402,,XAF,868,Cr,2026-07-31
