glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,XAF,3914,Dr,2026-07-31
101201,,XAF,3219,Dr,2026-07-31
200101,,XAF,29515,Dr,2026-07-31
200102,,XAF,3739,Dr,2026-07-31
200103,,XAF,1352,Dr,2026-07-31
200104,,XAF,1546,Dr,2026-07-31
200301,,XAF,13103,Dr,2026-07-31
200401,,XAF,11937,Dr,2026-07-31
200501,,XAF,29415,Dr,2026-07-31
200502,,XAF,28378,Dr,2026-07-31
200503,,XAF,6596,Dr,2026-07-31
200601,,XAF,76022,Dr,2026-07-31
200602,,XAF,17041,Dr,2026-07-31
200603,,XAF,15549,Dr,2026-07-31
200604,,XAF,13113,Dr,2026-07-31
200605,,XAF,14144,Dr,2026-07-31
200606,,XAF,3177,Dr,2026-07-31
200607,,XAF,11964,Dr,2026-07-31
200608,,XAF,15009,Dr,2026-07-31
200609,,XAF,10828,Dr,2026-07-31
200802,,XAF,3274,Dr,2026-07-31
300101,,XAF,6205,Cr,2026-07-31
300201,,XAF,4292,Cr,2026-07-31
400101,,XAF,54716,Cr,2026-07-31
400102,,XAF,58892,Cr,2026-07-31
400103,,XAF,33416,Cr,2026-07-31
400104,,XAF,12481,Cr,2026-07-31
400105,,XAF,49873,Cr,2026-07-31
400106,,XAF,40248,Cr,2026-07-31
400107,,XAF,18049,Cr,2026-07-31
400202,,XAF,2902,Cr,2026-07-31
400301,,XAF,14169,Cr,2026-07-31
400302,,XAF,9581,Cr,2026-07-31
400401,,XAF,5891,Cr,2026-07-31
400402,,XAF,2120,Cr,2026-07-31
