glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,XOF,58365,Dr,2026-07-31
101201,,XOF,30907,Dr,2026-07-31
200101,,XOF,232018,Dr,2026-07-31
200102,,XOF,30399,Dr,2026-07-31
200103,,XOF,11035,Dr,2026-07-31
200104,,XOF,12965,Dr,2026-07-31
200301,,XOF,114350,Dr,2026-07-31
200401,,XOF,99960,Dr,2026-07-31
200501,,XOF,296817,Dr,2026-07-31
200502,,XOF,233128,Dr,2026-07-31
200503,,XOF,62358,Dr,2026-07-31
200601,,XOF,388920,Dr,2026-07-31
200602,,XOF,196300,Dr,2026-07-31
200603,,XOF,146297,Dr,2026-07-31
200604,,XOF,110931,Dr,2026-07-31
200605,,XOF,186695,Dr,2026-07-31
200606,,XOF,26681,Dr,2026-07-31
200607,,XOF,87359,Dr,2026-07-31
200608,,XOF,151328,Dr,2026-07-31
200609,,XOF,57563,Dr,2026-07-31
200802,,XOF,29320,Dr,2026-07-31
300101,,XOF,22978,Cr,2026-07-31
300201,,XOF,20394,Cr,2026-07-31
400101,,XOF,392434,Cr,2026-07-31
400102,,XOF,465405,Cr,2026-07-31
400103,,XOF,281575,Cr,2026-07-31
400104,,XOF,109300,Cr,2026-07-31
400105,,XOF,401414,Cr,2026-07-31
400106,,XOF,335146,Cr,2026-07-31
400107,,XOF,143928,Cr,2026-07-31
400202,,XOF,34257,Cr,2026-07-31
400301,,XOF,139960,Cr,2026-07-31
400302,,XOF,77817,Cr,2026-07-31
400303,,XOF,89729,Cr,2026-07-31
400401,,XOF,36251,Cr,2026-07-31
400402,,XOF,13108,Cr,2026-07-31
