glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,XAF,12095,Dr,2026-07-31
101201,,XAF,4390,Dr,2026-07-31
200101,,XAF,39929,Dr,2026-07-31
200102,,XAF,6147,Dr,2026-07-31
200103,,XAF,1621,Dr,2026-07-31
200104,,XAF,3854,Dr,2026-07-31
200301,,XAF,19580,Dr,2026-07-31
200401,,XAF,18784,Dr,2026-07-31
200501,,XAF,39673,Dr,2026-07-31
200502,,XAF,29093,Dr,2026-07-31
200503,,XAF,15175,Dr,2026-07-31
200601,,XAF,117363,Dr,2026-07-31
200602,,XAF,38274,Dr,2026-07-31
200603,,XAF,34769,Dr,2026-07-31
200604,,XAF,22106,Dr,2026-07-31
200605,,XAF,30526,Dr,2026-07-31
200606,,XAF,3911,Dr,2026-07-31
200607,,XAF,20390,Dr,2026-07-31
200608,,XAF,23529,Dr,2026-07-31
200609,,XAF,13573,Dr,2026-07-31
200802,,XAF,5725,Dr,2026-07-31
300101,,XAF,36359,Cr,2026-07-31
300201,,XAF,26518,Cr,2026-07-31
400101,,XAF,45851,Cr,2026-07-31
400102,,XAF,58672,Cr,2026-07-31
400103,,XAF,32221,Cr,2026-07-31
400104,,XAF,9624,Cr,2026-07-31
400105,,XAF,55951,Cr,2026-07-31
400106,,XAF,149752,Cr,2026-07-31
400107,,XAF,23127,Cr,2026-07-31
400202,,XAF,6438,Cr,2026-07-31
400301,,XAF,27242,Cr,2026-07-31
400302,,XAF,16034,Cr,2026-07-31
400401,,XAF,8947,Cr,2026-07-31
400402,,XAF,3771,Cr,2026-07-31
