glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,GMD,279.03,Dr,2026-07-31
101201,,GMD,142.55,Dr,2026-07-31
200101,,GMD,1182.63,Dr,2026-07-31
200102,,GMD,174.0,Dr,2026-07-31
200103,,GMD,39.02,Dr,2026-07-31
200104,,GMD,78.0,Dr,2026-07-31
200301,,GMD,764.89,Dr,2026-07-31
200401,,GMD,380.86,Dr,2026-07-31
200501,,GMD,1266.34,Dr,2026-07-31
200502,,GMD,726.47,Dr,2026-07-31
200503,,GMD,387.74,Dr,2026-07-31
200601,,GMD,1894.67,Dr,2026-07-31
200602,,GMD,608.7,Dr,2026-07-31
200603,,GMD,836.05,Dr,2026-07-31
200604,,GMD,648.04,Dr,2026-07-31
200605,,GMD,703.11,Dr,2026-07-31
200606,,GMD,131.86,Dr,2026-07-31
200607,,GMD,396.13,Dr,2026-07-31
200608,,GMD,506.72,Dr,2026-07-31
200609,,GMD,336.91,Dr,2026-07-31
200802,,GMD,120.86,Dr,2026-07-31
300101,,GMD,287.92,Cr,2026-07-31
300201,,GMD,231.93,Cr,2026-07-31
400101,,GMD,1790.67,Cr,2026-07-31
400102,,GMD,2181.4,Cr,2026-07-31
400103,,GMD,1362.46,Cr,2026-07-31
400104,,GMD,432.23,Cr,2026-07-31
400105,,GMD,1791.29,Cr,2026-07-31
400106,,GMD,1504.49,Cr,2026-07-31
400107,,GMD,675.26,Cr,2026-07-31
400202,,GMD,175.63,Cr,2026-07-31
400301,,GMD,537.19,Cr,2026-07-31
400302,,GMD,355.27,Cr,2026-07-31
400401,,GMD,200.35,Cr,2026-07-31
400402,,GMD,78.49,Cr,2026-07-31
