glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,GHS,528.94,2026-07-31
101201,,GHS,226.05,2026-07-31
101301,,GHS,-241.73,2026-07-31
200101,,GHS,2171.62,2026-07-31
200102,,GHS,281.5,2026-07-31
200103,,GHS,85.9,2026-07-31
200104,,GHS,140.12,2026-07-31
200301,,GHS,861.82,2026-07-31
200401,,GHS,981.16,2026-07-31
200501,,GHS,2272.01,2026-07-31
200502,,GHS,2457.26,2026-07-31
200503,,GHS,756.41,2026-07-31
200601,,GHS,4881.29,2026-07-31
200602,,GHS,1347.34,2026-07-31
200603,,GHS,1354.14,2026-07-31
200604,,GHS,1456.48,2026-07-31
200605,,GHS,1360.23,2026-07-31
200606,,GHS,232.8,2026-07-31
200607,,GHS,936.53,2026-07-31
200608,,GHS,986.65,2026-07-31
200609,,GHS,578.03,2026-07-31
200802,,GHS,193.12,2026-07-31
300101,,GHS,1277.74,2026-07-31
300201,,GHS,1490.61,2026-07-31
400101,,GHS,2299.69,2026-07-31
400102,,GHS,2724.42,2026-07-31
400103,,GHS,1292.69,2026-07-31
400104,,GHS,438.04,2026-07-31
400105,,GHS,2676.74,2026-07-31
400106,,GHS,7393.06,2026-07-31
400107,,GHS,1101.16,2026-07-31
400202,,GHS,312.75,2026-07-31
400301,,GHS,1390.53,2026-07-31
400302,,GHS,754.34,2026-07-31
400401,,GHS,524.8,2026-07-31
400402,,GHS,171.1,2026-07-31
