glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,XOF,1992,Dr,2026-07-31
101201,,XOF,1191,Dr,2026-07-31
200101,,XOF,8632,Dr,2026-07-31
200102,,XOF,951,Dr,2026-07-31
200103,,XOF,495,Dr,2026-07-31
200104,,XOF,634,Dr,2026-07-31
200301,,XOF,4043,Dr,2026-07-31
200401,,XOF,2965,Dr,2026-07-31
200501,,XOF,10124,Dr,2026-07-31
200502,,XOF,7237,Dr,2026-07-31
200503,,XOF,1588,Dr,2026-07-31
200601,,XOF,18574,Dr,2026-07-31
200602,,XOF,5016,Dr,2026-07-31
200603,,XOF,5931,Dr,2026-07-31
200604,,XOF,4049,Dr,2026-07-31
200605,,XOF,4340,Dr,2026-07-31
200606,,XOF,1054,Dr,2026-07-31
200607,,XOF,2645,Dr,2026-07-31
200608,,XOF,4606,Dr,2026-07-31
200609,,XOF,1899,Dr,2026-07-31
200802,,XOF,555,Dr,2026-07-31
300101,,XOF,2066,Cr,2026-07-31
300201,,XOF,2499,Cr,2026-07-31
400101,,XOF,13982,Cr,2026-07-31
400102,,XOF,16937,Cr,2026-07-31
400103,,XOF,9289,Cr,2026-07-31
400104,,XOF,3744,Cr,2026-07-31
400105,,XOF,12388,Cr,2026-07-31
400106,,XOF,12173,Cr,2026-07-31
400107,,XOF,5073,Cr,2026-07-31
400202,,XOF,1008,Cr,2026-07-31
400301,,XOF,4606,Cr,2026-07-31
400302,,XOF,2779,Cr,2026-07-31
400401,,XOF,1237,Cr,2026-07-31
400402,,XOF,740,Cr,2026-07-31
