glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,GNF,55442,Dr,2026-07-31
101201,,GNF,51794,Dr,2026-07-31
200101,,GNF,395982,Dr,2026-07-31
200102,,GNF,46365,Dr,2026-07-31
200103,,GNF,16415,Dr,2026-07-31
200104,,GNF,27515,Dr,2026-07-31
200301,,GNF,217725,Dr,2026-07-31
200401,,GNF,202396,Dr,2026-07-31
200501,,GNF,309501,Dr,2026-07-31
200502,,GNF,249115,Dr,2026-07-31
200503,,GNF,69048,Dr,2026-07-31
200601,,GNF,765828,Dr,2026-07-31
200602,,GNF,249523,Dr,2026-07-31
200603,,GNF,283409,Dr,2026-07-31
200604,,GNF,213034,Dr,2026-07-31
200605,,GNF,250792,Dr,2026-07-31
200606,,GNF,28752,Dr,2026-07-31
200607,,GNF,132214,Dr,2026-07-31
200608,,GNF,171759,Dr,2026-07-31
200609,,GNF,81895,Dr,2026-07-31
200802,,GNF,34998,Dr,2026-07-31
300101,,GNF,113107,Cr,2026-07-31
300201,,GNF,72284,Cr,2026-07-31
400101,,GNF,603774,Cr,2026-07-31
400102,,GNF,629879,Cr,2026-07-31
400103,,GNF,430692,Cr,2026-07-31
400104,,GNF,164410,Cr,2026-07-31
400105,,GNF,626393,Cr,2026-07-31
400106,,GNF,548928,Cr,2026-07-31
400107,,GNF,222325,Cr,2026-07-31
400202,,GNF,48976,Cr,2026-07-31
400301,,GNF,191557,Cr,2026-07-31
400302,,GNF,119636,Cr,2026-07-31
400401,,GNF,64850,Cr,2026-07-31
400402,,GNF,16691,Cr,2026-07-31
