glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,XAF,3263,Dr,2026-07-31
101201,,XAF,1545,Dr,2026-07-31
200101,,XAF,9446,Dr,2026-07-31
200102,,XAF,1678,Dr,2026-07-31
200103,,XAF,673,Dr,2026-07-31
200104,,XAF,844,Dr,2026-07-31
200301,,XAF,5547,Dr,2026-07-31
200401,,XAF,4871,Dr,2026-07-31
200501,,XAF,11052,Dr,2026-07-31
200502,,XAF,8874,Dr,2026-07-31
200503,,XAF,2923,Dr,2026-07-31
200601,,XAF,22730,Dr,2026-07-31
200602,,XAF,8647,Dr,2026-07-31
200603,,XAF,7728,Dr,2026-07-31
200604,,XAF,4507,Dr,2026-07-31
200605,,XAF,5679,Dr,2026-07-31
200606,,XAF,1438,Dr,2026-07-31
200607,,XAF,4213,Dr,2026-07-31
200608,,XAF,7249,Dr,2026-07-31
200609,,XAF,3577,Dr,2026-07-31
200802,,XAF,1198,Dr,2026-07-31
300101,,XAF,2995,Cr,2026-07-31
300201,,XAF,3096,Cr,2026-07-31
400101,,XAF,20389,Cr,2026-07-31
400102,,XAF,20550,Cr,2026-07-31
400103,,XAF,13192,Cr,2026-07-31
400104,,XAF,4352,Cr,2026-07-31
400105,,XAF,18752,Cr,2026-07-31
400106,,XAF,14489,Cr,2026-07-31
400107,,XAF,6965,Cr,2026-07-31
400202,,XAF,1311,Cr,2026-07-31
400301,,XAF,5340,Cr,2026-07-31
400302,,XAF,3809,Cr,2026-07-31
400401,,XAF,1815,Cr,2026-07-31
400402,,XAF,627,Cr,2026-07-31
