glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,KES,2676.07,Dr,2026-07-31
101201,,KES,1482.12,Dr,2026-07-31
200101,,KES,10064.51,Dr,2026-07-31
200102,,KES,1385.1,Dr,2026-07-31
200103,,KES,419.18,Dr,2026-07-31
200104,,KES,867.38,Dr,2026-07-31
200301,,KES,4029.97,Dr,2026-07-31
200401,,KES,5004.7,Dr,2026-07-31
200501,,KES,12001.17,Dr,2026-07-31
200502,,KES,10057.86,Dr,2026-07-31
200503,,KES,3457.97,Dr,2026-07-31
200601,,KES,17353.15,Dr,2026-07-31
200602,,KES,5622.24,Dr,2026-07-31
200603,,KES,5739.03,Dr,2026-07-31
200604,,KES,7081.76,Dr,2026-07-31
200605,,KES,5605.35,Dr,2026-07-31
200606,,KES,949.55,Dr,2026-07-31
200607,,KES,3188.31,Dr,2026-07-31
200608,,KES,4811.93,Dr,2026-07-31
200609,,KES,2428.49,Dr,2026-07-31
200802,,KES,1238.78,Dr,2026-07-31
300101,,KES,873.13,Cr,2026-07-31
300201,,KES,1015.02,Cr,2026-07-31
400101,,KES,16337.41,Cr,2026-07-31
400102,,KES,20781.44,Cr,2026-07-31
400103,,KES,12335.17,Cr,2026-07-31
400104,,KES,4192.1,Cr,2026-07-31
400105,,KES,16454.63,Cr,2026-07-31
400106,,KES,14771.42,Cr,2026-07-31
400107,,KES,6391.59,Cr,2026-07-31
400202,,KES,1208.65,Cr,2026-07-31
400301,,KES,5614.73,Cr,2026-07-31
400302,,KES,3119.88,Cr,2026-07-31
400401,,KES,1715.63,Cr,2026-07-31
400402,,KES,653.82,Cr,2026-07-31
