glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,LRD,771.95,Dr,2026-07-31
101201,,LRD,306.22,Dr,2026-07-31
200101,,LRD,2576.97,Dr,2026-07-31
200102,,LRD,393.82,Dr,2026-07-31
200103,,LRD,115.07,Dr,2026-07-31
200104,,LRD,177.78,Dr,2026-07-31
200301,,LRD,1681.64,Dr,2026-07-31
200401,,LRD,1447.05,Dr,2026-07-31
200501,,LRD,2774.8,Dr,2026-07-31
200502,,LRD,2712.79,Dr,2026-07-31
200503,,LRD,892.95,Dr,2026-07-31
200601,,LRD,5048.66,Dr,2026-07-31
200602,,LRD,2498.63,Dr,2026-07-31
200603,,LRD,1601.49,Dr,2026-07-31
200604,,LRD,1539.25,Dr,2026-07-31
200605,,LRD,2161.81,Dr,2026-07-31
200606,,LRD,387.33,Dr,2026-07-31
200607,,LRD,1161.9,Dr,2026-07-31
200608,,LRD,1541.07,Dr,2026-07-31
200609,,LRD,728.44,Dr,2026-07-31
200802,,LRD,206.18,Dr,2026-07-31
300101,,LRD,1329.85,Cr,2026-07-31
300201,,LRD,1169.07,Cr,2026-07-31
400101,,LRD,2650.59,Cr,2026-07-31
400102,,LRD,3416.25,Cr,2026-07-31
400103,,LRD,1752.46,Cr,2026-07-31
400104,,LRD,603.94,Cr,2026-07-31
400105,,LRD,3856.09,Cr,2026-07-31
400106,,LRD,3296.56,Cr,2026-07-31
400107,,LRD,8552.54,Cr,2026-07-31
400202,,LRD,389.11,Cr,2026-07-31
400301,,LRD,1921.82,Cr,2026-07-31
400302,,LRD,955.41,Cr,2026-07-31
400401,,LRD,590.52,Cr,2026-07-31
400402,,LRD,241.59,Cr,2026-07-31
