glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,MWK,8574,Dr,2026-07-31
101201,,MWK,3525,Dr,2026-07-31
200101,,MWK,45637,Dr,2026-07-31
200102,,MWK,5502,Dr,2026-07-31
200103,,MWK,2025,Dr,2026-07-31
200104,,MWK,3317,Dr,2026-07-31
200301,,MWK,20350,Dr,2026-07-31
200401,,MWK,11227,Dr,2026-07-31
200501,,MWK,45562,Dr,2026-07-31
200502,,MWK,25984,Dr,2026-07-31
200503,,MWK,13606,Dr,2026-07-31
200601,,MWK,94931,Dr,2026-07-31
200602,,MWK,36364,Dr,2026-07-31
200603,,MWK,35141,Dr,2026-07-31
200604,,MWK,24082,Dr,2026-07-31
200605,,MWK,23891,Dr,2026-07-31
200606,,MWK,4976,Dr,2026-07-31
200607,,MWK,18396,Dr,2026-07-31
200608,,MWK,25633,Dr,2026-07-31
200609,,MWK,15234,Dr,2026-07-31
200802,,MWK,3868,Dr,2026-07-31
300101,,MWK,7903,Cr,2026-07-31
300201,,MWK,5259,Cr,2026-07-31
400101,,MWK,74190,Cr,2026-07-31
400102,,MWK,83442,Cr,2026-07-31
400103,,MWK,51303,Cr,2026-07-31
400104,,MWK,20143,Cr,2026-07-31
400105,,MWK,75130,Cr,2026-07-31
400106,,MWK,63474,Cr,2026-07-31
400107,,MWK,30354,Cr,2026-07-31
400202,,MWK,6718,Cr,2026-07-31
400301,,MWK,22249,Cr,2026-07-31
400302,,MWK,15022,Cr,2026-07-31
400401,,MWK,9258,Cr,2026-07-31
400402,,MWK,3380,Cr,2026-07-31
