glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,XOF,7581,Dr,2026-07-31
101201,,XOF,10109,Dr,2026-07-31
200101,,XOF,50789,Dr,2026-07-31
200102,,XOF,9532,Dr,2026-07-31
200103,,XOF,2153,Dr,2026-07-31
200104,,XOF,4673,Dr,2026-07-31
200301,,XOF,40774,Dr,2026-07-31
200401,,XOF,22553,Dr,2026-07-31
200501,,XOF,56184,Dr,2026-07-31
200502,,XOF,62031,Dr,2026-07-31
200503,,XOF,15728,Dr,2026-07-31
200601,,XOF,141101,Dr,2026-07-31
200602,,XOF,33565,Dr,2026-07-31
200603,,XOF,43731,Dr,2026-07-31
200604,,XOF,36010,Dr,2026-07-31
200605,,XOF,32995,Dr,2026-07-31
200606,,XOF,5592,Dr,2026-07-31
200607,,XOF,21099,Dr,2026-07-31
200608,,XOF,23096,Dr,2026-07-31
200609,,XOF,19273,Dr,2026-07-31
200802,,XOF,5451,Dr,2026-07-31
300101,,XOF,9063,Cr,2026-07-31
300201,,XOF,10897,Cr,2026-07-31
400101,,XOF,107041,Cr,2026-07-31
400102,,XOF,121934,Cr,2026-07-31
400103,,XOF,75523,Cr,2026-07-31
400104,,XOF,25991,Cr,2026-07-31
400105,,XOF,88702,Cr,2026-07-31
400106,,XOF,85193,Cr,2026-07-31
400107,,XOF,41422,Cr,2026-07-31
400202,,XOF,6870,Cr,2026-07-31
400301,,XOF,34717,Cr,2026-07-31
400302,,XOF,18905,Cr,2026-07-31
400401,,XOF,14077,Cr,2026-07-31
400402,,XOF,3685,Cr,2026-07-31
