glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,MZN,740.51,Dr,2026-07-31
101201,,MZN,492.84,Dr,2026-07-31
200101,,MZN,2957.93,Dr,2026-07-31
200102,,MZN,466.17,Dr,2026-07-31
200103,,MZN,132.76,Dr,2026-07-31
200104,,MZN,249.73,Dr,2026-07-31
200301,,MZN,1157.97,Dr,2026-07-31
200401,,MZN,1400.82,Dr,2026-07-31
200501,,MZN,4470.17,Dr,2026-07-31
200502,,MZN,2369.05,Dr,2026-07-31
200503,,MZN,1089.16,Dr,2026-07-31
200601,,MZN,8837.84,Dr,2026-07-31
200602,,MZN,1993.6,Dr,2026-07-31
200603,,MZN,2354.16,Dr,2026-07-31
200604,,MZN,2110.18,Dr,2026-07-31
200605,,MZN,2661.67,Dr,2026-07-31
200606,,MZN,384.97,Dr,2026-07-31
200607,,MZN,1161.07,Dr,2026-07-31
200608,,MZN,2054.74,Dr,2026-07-31
200609,,MZN,774.43,Dr,2026-07-31
200802,,MZN,198.03,Dr,2026-07-31
300101,,MZN,1209.51,Cr,2026-07-31
300201,,MZN,1062.3,Cr,2026-07-31
400101,,MZN,3766.2,Cr,2026-07-31
400102,,MZN,4531.1,Cr,2026-07-31
400103,,MZN,2732.93,Cr,2026-07-31
400104,,MZN,1229.22,Cr,2026-07-31
400105,,MZN,4869.3,Cr,2026-07-31
400106,,MZN,4055.36,Cr,2026-07-31
400107,,MZN,9127.53,Cr,2026-07-31
400202,,MZN,388.01,Cr,2026-07-31
400301,,MZN,2773.39,Cr,2026-07-31
400302,,MZN,1374.01,Cr,2026-07-31
400401,,MZN,785.42,Cr,2026-07-31
400402,,MZN,153.52,Cr,2026-07-31
