glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,XOF,7224,Dr,2026-07-31
101201,,XOF,3846,Dr,2026-07-31
200101,,XOF,25228,Dr,2026-07-31
200102,,XOF,3309,Dr,2026-07-31
200103,,XOF,1315,Dr,2026-07-31
200104,,XOF,1671,Dr,2026-07-31
200301,,XOF,8734,Dr,2026-07-31
200401,,XOF,13875,Dr,2026-07-31
200501,,XOF,27316,Dr,2026-07-31
200502,,XOF,24675,Dr,2026-07-31
200503,,XOF,7181,Dr,2026-07-31
200601,,XOF,59889,Dr,2026-07-31
200602,,XOF,17906,Dr,2026-07-31
200603,,XOF,18946,Dr,2026-07-31
200604,,XOF,15281,Dr,2026-07-31
200605,,XOF,14052,Dr,2026-07-31
200606,,XOF,2658,Dr,2026-07-31
200607,,XOF,6557,Dr,2026-07-31
200608,,XOF,11820,Dr,2026-07-31
200609,,XOF,6553,Dr,2026-07-31
200802,,XOF,2970,Dr,2026-07-31
300101,,XOF,16076,Cr,2026-07-31
300201,,XOF,17564,Cr,2026-07-31
400101,,XOF,21931,Cr,2026-07-31
400102,,XOF,35289,Cr,2026-07-31
400103,,XOF,15543,Cr,2026-07-31
400104,,XOF,5725,Cr,2026-07-31
400105,,XOF,48824,Cr,2026-07-31
400106,,XOF,50270,Cr,2026-07-31
400107,,XOF,20904,Cr,2026-07-31
400202,,XOF,3455,Cr,2026-07-31
400301,,XOF,29068,Cr,2026-07-31
400302,,XOF,10903,Cr,2026-07-31
400401,,XOF,4442,Cr,2026-07-31
400402,,XOF,1012,Cr,2026-07-31
