glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,NGN,61181.97,Dr,2026-07-31
101201,,NGN,21216.05,Dr,2026-07-31
200101,,NGN,198359.63,Dr,2026-07-31
200102,,NGN,30994.97,Dr,2026-07-31
200103,,NGN,11182.1,Dr,2026-07-31
200104,,NGN,13373.81,Dr,2026-07-31
200301,,NGN,100706.11,Dr,2026-07-31
200401,,NGN,114327.86,Dr,2026-07-31
200501,,NGN,265450.45,Dr,2026-07-31
200502,,NGN,157182.35,Dr,2026-07-31
200503,,NGN,61995.12,Dr,2026-07-31
200601,,NGN,566226.69,Dr,2026-07-31
200602,,NGN,167347.18,Dr,2026-07-31
200603,,NGN,157048.56,Dr,2026-07-31
200604,,NGN,142021.05,Dr,2026-07-31
200605,,NGN,114244.26,Dr,2026-07-31
200606,,NGN,18786.5,Dr,2026-07-31
200607,,NGN,78921.29,Dr,2026-07-31
200608,,NGN,114312.84,Dr,2026-07-31
200609,,NGN,56125.51,Dr,2026-07-31
200802,,NGN,15919.75,Dr,2026-07-31
300101,,NGN,35621.3,Cr,2026-07-31
300201,,NGN,27339.58,Cr,2026-07-31
400101,,NGN,385537.6,Cr,2026-07-31
400102,,NGN,448586.53,Cr,2026-07-31
400103,,NGN,275441.77,Cr,2026-07-31
400104,,NGN,99856.17,Cr,2026-07-31
400105,,NGN,357052.03,Cr,2026-07-31
400106,,NGN,317134.48,Cr,2026-07-31
400107,,NGN,141479.6,Cr,2026-07-31
400202,,NGN,27117.52,Cr,2026-07-31
400301,,NGN,127485.51,Cr,2026-07-31
400302,,NGN,75947.06,Cr,2026-07-31
400303,,NGN,86342.34,Cr,2026-07-31
400401,,NGN,51816.38,Cr,2026-07-31
400402,,NGN,10166.18,Cr,2026-07-31
