glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,CDF,47165,Dr,2026-07-31
101201,,CDF,17308,Dr,2026-07-31
200101,,CDF,173997,Dr,2026-07-31
200102,,CDF,24591,Dr,2026-07-31
200103,,CDF,9594,Dr,2026-07-31
200104,,CDF,12024,Dr,2026-07-31
200301,,CDF,103829,Dr,2026-07-31
200401,,CDF,101422,Dr,2026-07-31
200501,,CDF,188492,Dr,2026-07-31
200502,,CDF,163123,Dr,2026-07-31
200503,,CDF,21277,Dr,2026-07-31
200601,,CDF,374009,Dr,2026-07-31
200602,,CDF,146134,Dr,2026-07-31
200603,,CDF,110290,Dr,2026-07-31
200604,,CDF,77922,Dr,2026-07-31
200605,,CDF,78647,Dr,2026-07-31
200606,,CDF,16676,Dr,2026-07-31
200607,,CDF,49792,Dr,2026-07-31
200608,,CDF,83113,Dr,2026-07-31
200609,,CDF,61179,Dr,2026-07-31
200802,,CDF,14205,Dr,2026-07-31
300101,,CDF,89083,Cr,2026-07-31
300201,,CDF,74481,Cr,2026-07-31
400101,,CDF,164870,Cr,2026-07-31
400102,,CDF,210400,Cr,2026-07-31
400103,,CDF,123146,Cr,2026-07-31
400104,,CDF,37592,Cr,2026-07-31
400105,,CDF,254968,Cr,2026-07-31
400106,,CDF,201928,Cr,2026-07-31
400107,,CDF,481188,Cr,2026-07-31
400202,,CDF,22374,Cr,2026-07-31
400301,,CDF,109766,Cr,2026-07-31
400302,,CDF,58977,Cr,2026-07-31
400401,,CDF,35477,Cr,2026-07-31
400402,,CDF,10539,Cr,2026-07-31
