glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,RWF,6510,Dr,2026-07-31
101201,,RWF,4734,Dr,2026-07-31
200101,,RWF,36814,Dr,2026-07-31
200102,,RWF,3757,Dr,2026-07-31
200103,,RWF,1100,Dr,2026-07-31
200104,,RWF,2535,Dr,2026-07-31
200301,,RWF,13235,Dr,2026-07-31
200401,,RWF,12441,Dr,2026-07-31
200501,,RWF,39676,Dr,2026-07-31
200502,,RWF,24213,Dr,2026-07-31
200503,,RWF,4390,Dr,2026-07-31
200601,,RWF,69362,Dr,2026-07-31
200602,,RWF,19609,Dr,2026-07-31
200603,,RWF,26760,Dr,2026-07-31
200604,,RWF,16136,Dr,2026-07-31
200605,,RWF,19616,Dr,2026-07-31
200606,,RWF,3109,Dr,2026-07-31
200607,,RWF,13364,Dr,2026-07-31
200608,,RWF,21220,Dr,2026-07-31
200609,,RWF,12800,Dr,2026-07-31
200802,,RWF,3256,Dr,2026-07-31
300101,,RWF,14403,Cr,2026-07-31
300201,,RWF,13317,Cr,2026-07-31
400101,,RWF,56056,Cr,2026-07-31
400102,,RWF,62897,Cr,2026-07-31
400103,,RWF,37796,Cr,2026-07-31
400104,,RWF,13445,Cr,2026-07-31
400105,,RWF,49570,Cr,2026-07-31
400106,,RWF,46459,Cr,2026-07-31
400107,,RWF,21462,Cr,2026-07-31
400202,,RWF,3897,Cr,2026-07-31
400301,,RWF,16041,Cr,2026-07-31
400302,,RWF,11640,Cr,2026-07-31
400401,,RWF,6234,Cr,2026-07-31
400402,,RWF,1420,Cr,2026-07-31
