glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,XOF,32925,Dr,2026-07-31
101201,,XOF,17192,Dr,2026-07-31
200101,,XOF,110398,Dr,2026-07-31
200102,,XOF,16344,Dr,2026-07-31
200103,,XOF,4263,Dr,2026-07-31
200104,,XOF,6610,Dr,2026-07-31
200301,,XOF,53766,Dr,2026-07-31
200401,,XOF,61150,Dr,2026-07-31
200501,,XOF,106723,Dr,2026-07-31
200502,,XOF,113182,Dr,2026-07-31
200503,,XOF,13768,Dr,2026-07-31
200601,,XOF,266887,Dr,2026-07-31
200602,,XOF,72693,Dr,2026-07-31
200603,,XOF,86404,Dr,2026-07-31
200604,,XOF,64386,Dr,2026-07-31
200605,,XOF,76284,Dr,2026-07-31
200606,,XOF,11175,Dr,2026-07-31
200607,,XOF,38072,Dr,2026-07-31
200608,,XOF,61769,Dr,2026-07-31
200609,,XOF,37209,Dr,2026-07-31
200802,,XOF,10221,Dr,2026-07-31
300101,,XOF,68737,Cr,2026-07-31
300201,,XOF,78358,Cr,2026-07-31
400101,,XOF,114657,Cr,2026-07-31
400102,,XOF,141118,Cr,2026-07-31
400103,,XOF,73830,Cr,2026-07-31
400104,,XOF,25577,Cr,2026-07-31
400105,,XOF,148756,Cr,2026-07-31
400106,,XOF,400321,Cr,2026-07-31
400107,,XOF,63091,Cr,2026-07-31
400202,,XOF,10733,Cr,2026-07-31
400301,,XOF,75530,Cr,2026-07-31
400302,,XOF,34576,Cr,2026-07-31
400401,,XOF,17319,Cr,2026-07-31
400402,,XOF,8818,Cr,2026-07-31
