glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,SLE,118.91,Dr,2026-07-31
101201,,SLE,49.46,Dr,2026-07-31
200101,,SLE,467.63,Dr,2026-07-31
200102,,SLE,56.23,Dr,2026-07-31
200103,,SLE,23.1,Dr,2026-07-31
200104,,SLE,39.27,Dr,2026-07-31
200301,,SLE,325.28,Dr,2026-07-31
200401,,SLE,213.15,Dr,2026-07-31
200501,,SLE,490.81,Dr,2026-07-31
200502,,SLE,471.77,Dr,2026-07-31
200503,,SLE,157.97,Dr,2026-07-31
200601,,SLE,852.34,Dr,2026-07-31
200602,,SLE,353.26,Dr,2026-07-31
200603,,SLE,342.45,Dr,2026-07-31
200604,,SLE,216.13,Dr,2026-07-31
200605,,SLE,378.57,Dr,2026-07-31
200606,,SLE,60.53,Dr,2026-07-31
200607,,SLE,208.02,Dr,2026-07-31
200608,,SLE,283.09,Dr,2026-07-31
200609,,SLE,168.58,Dr,2026-07-31
200802,,SLE,60.85,Dr,2026-07-31
300101,,SLE,272.67,Cr,2026-07-31
300201,,SLE,180.13,Cr,2026-07-31
400101,,SLE,809.76,Cr,2026-07-31
400102,,SLE,972.62,Cr,2026-07-31
400103,,SLE,576.14,Cr,2026-07-31
400104,,SLE,213.73,Cr,2026-07-31
400105,,SLE,744.16,Cr,2026-07-31
400106,,SLE,666.0,Cr,2026-07-31
400107,,SLE,309.37,Cr,2026-07-31
400202,,SLE,48.59,Cr,2026-07-31
400301,,SLE,277.44,Cr,2026-07-31
400302,,SLE,161.21,Cr,2026-07-31
400401,,SLE,81.35,Cr,2026-07-31
400402,,SLE,24.23,Cr,2026-07-31
