glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,SSP,1663,Dr,2026-07-31
101201,,SSP,1228,Dr,2026-07-31
200101,,SSP,9245,Dr,2026-07-31
200102,,SSP,1074,Dr,2026-07-31
200103,,SSP,337,Dr,2026-07-31
200104,,SSP,623,Dr,2026-07-31
200301,,SSP,2909,Dr,2026-07-31
200401,,SSP,4297,Dr,2026-07-31
200501,,SSP,8946,Dr,2026-07-31
200502,,SSP,6074,Dr,2026-07-31
200503,,SSP,1747,Dr,2026-07-31
200601,,SSP,16247,Dr,2026-07-31
200602,,SSP,5958,Dr,2026-07-31
200603,,SSP,5574,Dr,2026-07-31
200604,,SSP,4902,Dr,2026-07-31
200605,,SSP,5650,Dr,2026-07-31
200606,,SSP,1043,Dr,2026-07-31
200607,,SSP,3128,Dr,2026-07-31
200608,,SSP,4449,Dr,2026-07-31
200609,,SSP,2814,Dr,2026-07-31
200802,,SSP,575,Dr,2026-07-31
300101,,SSP,7051,Cr,2026-07-31
300201,,SSP,5577,Cr,2026-07-31
400101,,SSP,6220,Cr,2026-07-31
400102,,SSP,8155,Cr,2026-07-31
400103,,SSP,3986,Cr,2026-07-31
400104,,SSP,1714,Cr,2026-07-31
400105,,SSP,14182,Cr,2026-07-31
400106,,SSP,16784,Cr,2026-07-31
400107,,SSP,7313,Cr,2026-07-31
400202,,SSP,1148,Cr,2026-07-31
400301,,SSP,10606,Cr,2026-07-31
400302,,SSP,3845,Cr,2026-07-31
400401,,SSP,1445,Cr,2026-07-31
400402,,SSP,457,Cr,2026-07-31
