glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,STN,35,Dr,2026-07-31
101201,,STN,25,Dr,2026-07-31
200101,,STN,194,Dr,2026-07-31
200102,,STN,31,Dr,2026-07-31
200103,,STN,9,Dr,2026-07-31
200104,,STN,12,Dr,2026-07-31
200301,,STN,81,Dr,2026-07-31
200401,,STN,68,Dr,2026-07-31
200501,,STN,198,Dr,2026-07-31
200502,,STN,157,Dr,2026-07-31
200503,,STN,31,Dr,2026-07-31
200601,,STN,503,Dr,2026-07-31
200602,,STN,109,Dr,2026-07-31
200603,,STN,133,Dr,2026-07-31
200604,,STN,111,Dr,2026-07-31
200605,,STN,137,Dr,2026-07-31
200606,,STN,16,Dr,2026-07-31
200607,,STN,82,Dr,2026-07-31
200608,,STN,108,Dr,2026-07-31
200609,,STN,48,Dr,2026-07-31
200802,,STN,23,Dr,2026-07-31
300101,,STN,70,Cr,2026-07-31
300201,,STN,55,Cr,2026-07-31
400101,,STN,325,Cr,2026-07-31
400102,,STN,371,Cr,2026-07-31
400103,,STN,220,Cr,2026-07-31
400104,,STN,81,Cr,2026-07-31
400105,,STN,321,Cr,2026-07-31
400106,,STN,292,Cr,2026-07-31
400107,,STN,124,Cr,2026-07-31
400202,,STN,26,Cr,2026-07-31
400301,,STN,96,Cr,2026-07-31
400302,,STN,68,Cr,2026-07-31
400401,,STN,45,Cr,2026-07-31
400402,,STN,17,Cr,2026-07-31
