glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,TZS,21115,Dr,2026-07-31
101201,,TZS,7312,Dr,2026-07-31
200101,,TZS,74416,Dr,2026-07-31
200102,,TZS,9255,Dr,2026-07-31
200103,,TZS,2771,Dr,2026-07-31
200104,,TZS,5294,Dr,2026-07-31
200301,,TZS,34758,Dr,2026-07-31
200401,,TZS,23471,Dr,2026-07-31
200501,,TZS,88929,Dr,2026-07-31
200502,,TZS,50776,Dr,2026-07-31
200503,,TZS,18823,Dr,2026-07-31
200601,,TZS,152714,Dr,2026-07-31
200602,,TZS,60961,Dr,2026-07-31
200603,,TZS,49065,Dr,2026-07-31
200604,,TZS,30001,Dr,2026-07-31
200605,,TZS,39452,Dr,2026-07-31
200606,,TZS,5959,Dr,2026-07-31
200607,,TZS,30148,Dr,2026-07-31
200608,,TZS,38476,Dr,2026-07-31
200609,,TZS,16097,Dr,2026-07-31
200802,,TZS,7923,Dr,2026-07-31
300101,,TZS,24651,Cr,2026-07-31
300201,,TZS,17933,Cr,2026-07-31
400101,,TZS,118495,Cr,2026-07-31
400102,,TZS,151456,Cr,2026-07-31
400103,,TZS,82896,Cr,2026-07-31
400104,,TZS,32931,Cr,2026-07-31
400105,,TZS,110681,Cr,2026-07-31
400106,,TZS,95212,Cr,2026-07-31
400107,,TZS,41809,Cr,2026-07-31
400202,,TZS,11385,Cr,2026-07-31
400301,,TZS,36396,Cr,2026-07-31
400302,,TZS,23593,Cr,2026-07-31
400401,,TZS,15699,Cr,2026-07-31
400402,,TZS,4579,Cr,2026-07-31
