glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,XOF,5023,Dr,2026-07-31
101201,,XOF,5381,Dr,2026-07-31
200101,,XOF,35961,Dr,2026-07-31
200102,,XOF,6319,Dr,2026-07-31
200103,,XOF,1647,Dr,2026-07-31
200104,,XOF,2657,Dr,2026-07-31
200301,,XOF,22027,Dr,2026-07-31
200401,,XOF,15755,Dr,2026-07-31
200501,,XOF,54724,Dr,2026-07-31
200502,,XOF,42565,Dr,2026-07-31
200503,,XOF,11556,Dr,2026-07-31
200601,,XOF,108796,Dr,2026-07-31
200602,,XOF,35233,Dr,2026-07-31
200603,,XOF,26643,Dr,2026-07-31
200604,,XOF,26767,Dr,2026-07-31
200605,,XOF,32205,Dr,2026-07-31
200606,,XOF,3329,Dr,2026-07-31
200607,,XOF,17308,Dr,2026-07-31
200608,,XOF,17352,Dr,2026-07-31
200609,,XOF,11600,Dr,2026-07-31
200802,,XOF,5040,Dr,2026-07-31
300101,,XOF,27911,Cr,2026-07-31
300201,,XOF,24256,Cr,2026-07-31
400101,,XOF,56817,Cr,2026-07-31
400102,,XOF,60044,Cr,2026-07-31
400103,,XOF,36118,Cr,2026-07-31
400104,,XOF,13279,Cr,2026-07-31
400105,,XOF,63829,Cr,2026-07-31
400106,,XOF,61489,Cr,2026-07-31
400107,,XOF,26497,Cr,2026-07-31
400202,,XOF,4127,Cr,2026-07-31
400301,,XOF,76906,Cr,2026-07-31
400302,,XOF,25393,Cr,2026-07-31
400401,,XOF,9103,Cr,2026-07-31
400402,,XOF,2119,Cr,2026-07-31
