glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,UGX,22056,Dr,2026-07-31
101201,,UGX,17310,Dr,2026-07-31
200101,,UGX,126643,Dr,2026-07-31
200102,,UGX,16603,Dr,2026-07-31
200103,,UGX,7254,Dr,2026-07-31
200104,,UGX,9854,Dr,2026-07-31
200301,,UGX,69045,Dr,2026-07-31
200401,,UGX,69768,Dr,2026-07-31
200501,,UGX,142104,Dr,2026-07-31
200502,,UGX,117667,Dr,2026-07-31
200503,,UGX,32750,Dr,2026-07-31
200601,,UGX,273506,Dr,2026-07-31
200602,,UGX,96965,Dr,2026-07-31
200603,,UGX,62464,Dr,2026-07-31
200604,,UGX,65997,Dr,2026-07-31
200605,,UGX,73365,Dr,2026-07-31
200606,,UGX,15271,Dr,2026-07-31
200607,,UGX,32002,Dr,2026-07-31
200608,,UGX,70695,Dr,2026-07-31
200609,,UGX,36589,Dr,2026-07-31
200802,,UGX,13408,Dr,2026-07-31
300101,,UGX,40129,Cr,2026-07-31
300201,,UGX,34341,Cr,2026-07-31
400101,,UGX,227620,Cr,2026-07-31
400102,,UGX,231215,Cr,2026-07-31
400103,,UGX,155495,Cr,2026-07-31
400104,,UGX,49463,Cr,2026-07-31
400105,,UGX,221135,Cr,2026-07-31
400106,,UGX,180014,Cr,2026-07-31
400107,,UGX,84186,Cr,2026-07-31
400202,,UGX,16514,Cr,2026-07-31
400301,,UGX,64283,Cr,2026-07-31
400302,,UGX,38363,Cr,2026-07-31
400401,,UGX,20508,Cr,2026-07-31
400402,,UGX,8050,Cr,2026-07-31
