glAccountCode,orgUnitCode,currency,endingBalance,drCr,asOfDate
100101,,ZMW,230.59,Dr,2026-07-31
101201,,ZMW,189.31,Dr,2026-07-31
200101,,ZMW,1271.97,Dr,2026-07-31
200102,,ZMW,202.41,Dr,2026-07-31
200103,,ZMW,67.22,Dr,2026-07-31
200104,,ZMW,103.6,Dr,2026-07-31
200301,,ZMW,657.97,Dr,2026-07-31
200401,,ZMW,523.9,Dr,2026-07-31
200501,,ZMW,1069.42,Dr,2026-07-31
200502,,ZMW,1004.2,Dr,2026-07-31
200503,,ZMW,203.51,Dr,2026-07-31
200601,,ZMW,2955.56,Dr,2026-07-31
200602,,ZMW,838.05,Dr,2026-07-31
200603,,ZMW,1028.02,Dr,2026-07-31
200604,,ZMW,702.07,Dr,2026-07-31
200605,,ZMW,910.77,Dr,2026-07-31
200606,,ZMW,99.11,Dr,2026-07-31
200607,,ZMW,570.59,Dr,2026-07-31
200608,,ZMW,616.6,Dr,2026-07-31
200609,,ZMW,337.33,Dr,2026-07-31
200802,,ZMW,157.32,Dr,2026-07-31
300101,,ZMW,692.7,Cr,2026-07-31
300201,,ZMW,624.79,Cr,2026-07-31
400101,,ZMW,1409.59,Cr,2026-07-31
400102,,ZMW,1845.98,Cr,2026-07-31
400103,,ZMW,1046.67,Cr,2026-07-31
400104,,ZMW,436.55,Cr,2026-07-31
400105,,ZMW,1754.29,Cr,2026-07-31
400106,,ZMW,1691.84,Cr,2026-07-31
400107,,ZMW,737.26,Cr,2026-07-31
400202,,ZMW,183.59,Cr,2026-07-31
400301,,ZMW,2201.41,Cr,2026-07-31
400302,,ZMW,715.84,Cr,2026-07-31
400401,,ZMW,312.31,Cr,2026-07-31
400402,,ZMW,86.7,Cr,2026-07-31
