glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,USD,21.96,2026-07-31
101201,,USD,5.54,2026-07-31
101301,,USD,-5.59,2026-07-31
200101,,USD,59.13,2026-07-31
200102,,USD,6.1,2026-07-31
200103,,USD,1.88,2026-07-31
200104,,USD,3.29,2026-07-31
200301,,USD,27.55,2026-07-31
200401,,USD,32.4,2026-07-31
200501,,USD,52.32,2026-07-31
200502,,USD,38.68,2026-07-31
200503,,USD,18.89,2026-07-31
200601,,USD,138.8,2026-07-31
200602,,USD,37.96,2026-07-31
200603,,USD,44.42,2026-07-31
200604,,USD,26.76,2026-07-31
200605,,USD,35.99,2026-07-31
200606,,USD,4.87,2026-07-31
200607,,USD,17.48,2026-07-31
200608,,USD,21.66,2026-07-31
200609,,USD,18.54,2026-07-31
200802,,USD,4.2,2026-07-31
300101,,USD,23.18,2026-07-31
300201,,USD,22.51,2026-07-31
400101,,USD,50.2,2026-07-31
400102,,USD,65.04,2026-07-31
400103,,USD,33.51,2026-07-31
400104,,USD,12.67,2026-07-31
400105,,USD,85.53,2026-07-31
400106,,USD,63.72,2026-07-31
400107,,USD,182.3,2026-07-31
400202,,USD,5.31,2026-07-31
400301,,USD,38.05,2026-07-31
400302,,USD,18.92,2026-07-31
400401,,USD,9.14,2026-07-31
400402,,USD,2.75,2026-07-31
