glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,GMD,377.06,2026-07-31
101201,,GMD,117.86,2026-07-31
101301,,GMD,-145.16,2026-07-31
200101,,GMD,1182.63,2026-07-31
200102,,GMD,174.0,2026-07-31
200103,,GMD,39.02,2026-07-31
200104,,GMD,78.0,2026-07-31
200301,,GMD,764.89,2026-07-31
200401,,GMD,380.86,2026-07-31
200501,,GMD,1266.34,2026-07-31
200502,,GMD,726.47,2026-07-31
200503,,GMD,387.74,2026-07-31
200601,,GMD,1894.67,2026-07-31
200602,,GMD,608.7,2026-07-31
200603,,GMD,836.05,2026-07-31
200604,,GMD,648.04,2026-07-31
200605,,GMD,703.11,2026-07-31
200606,,GMD,131.86,2026-07-31
200607,,GMD,396.13,2026-07-31
200608,,GMD,506.72,2026-07-31
200609,,GMD,336.91,2026-07-31
200802,,GMD,120.86,2026-07-31
300101,,GMD,360.39,2026-07-31
300201,,GMD,323.49,2026-07-31
400101,,GMD,1969.49,2026-07-31
400102,,GMD,1884.23,2026-07-31
400103,,GMD,1265.16,2026-07-31
400104,,GMD,491.75,2026-07-31
400105,,GMD,1729.17,2026-07-31
400106,,GMD,1397.21,2026-07-31
400107,,GMD,669.98,2026-07-31
400202,,GMD,174.58,2026-07-31
400301,,GMD,588.45,2026-07-31
400302,,GMD,376.11,2026-07-31
400401,,GMD,227.42,2026-07-31
400402,,GMD,75.33,2026-07-31
