glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,GNF,96159,2026-07-31
101201,,GNF,30592,2026-07-31
101301,,GNF,-36176,2026-07-31
200101,,GNF,395982,2026-07-31
200102,,GNF,46365,2026-07-31
200103,,GNF,16415,2026-07-31
200104,,GNF,27515,2026-07-31
200301,,GNF,217725,2026-07-31
200401,,GNF,202396,2026-07-31
200501,,GNF,309501,2026-07-31
200502,,GNF,249115,2026-07-31
200503,,GNF,69048,2026-07-31
200601,,GNF,765828,2026-07-31
200602,,GNF,249523,2026-07-31
200603,,GNF,283409,2026-07-31
200604,,GNF,213034,2026-07-31
200605,,GNF,250792,2026-07-31
200606,,GNF,28752,2026-07-31
200607,,GNF,132214,2026-07-31
200608,,GNF,171759,2026-07-31
200609,,GNF,81895,2026-07-31
200802,,GNF,34998,2026-07-31
300101,,GNF,159224,2026-07-31
300201,,GNF,100221,2026-07-31
400101,,GNF,595294,2026-07-31
400102,,GNF,688839,2026-07-31
400103,,GNF,462469,2026-07-31
400104,,GNF,161909,2026-07-31
400105,,GNF,527384,2026-07-31
400106,,GNF,455520,2026-07-31
400107,,GNF,228874,2026-07-31
400202,,GNF,36439,2026-07-31
400301,,GNF,198531,2026-07-31
400302,,GNF,117374,2026-07-31
400401,,GNF,87369,2026-07-31
400402,,GNF,17394,2026-07-31
