glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,XAF,4232,2026-07-31
101201,,XAF,1545,2026-07-31
101301,,XAF,-1130,2026-07-31
200101,,XAF,9446,2026-07-31
200102,,XAF,1678,2026-07-31
200103,,XAF,673,2026-07-31
200104,,XAF,844,2026-07-31
200301,,XAF,5547,2026-07-31
200401,,XAF,4871,2026-07-31
200501,,XAF,11052,2026-07-31
200502,,XAF,8874,2026-07-31
200503,,XAF,2923,2026-07-31
200601,,XAF,22730,2026-07-31
200602,,XAF,8647,2026-07-31
200603,,XAF,7728,2026-07-31
200604,,XAF,4507,2026-07-31
200605,,XAF,5679,2026-07-31
200606,,XAF,1438,2026-07-31
200607,,XAF,4213,2026-07-31
200608,,XAF,7249,2026-07-31
200609,,XAF,3577,2026-07-31
200802,,XAF,1198,2026-07-31
300101,,XAF,2990,2026-07-31
300201,,XAF,3092,2026-07-31
400101,,XAF,20361,2026-07-31
400102,,XAF,20521,2026-07-31
400103,,XAF,13174,2026-07-31
400104,,XAF,4346,2026-07-31
400105,,XAF,18727,2026-07-31
400106,,XAF,14470,2026-07-31
400107,,XAF,6955,2026-07-31
400202,,XAF,1310,2026-07-31
400301,,XAF,5332,2026-07-31
400302,,XAF,3804,2026-07-31
400401,,XAF,1813,2026-07-31
400402,,XAF,626,2026-07-31
