glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,KES,3963.79,2026-07-31
101201,,KES,1728.24,2026-07-31
101301,,KES,-1088.32,2026-07-31
200101,,KES,10064.51,2026-07-31
200102,,KES,1385.1,2026-07-31
200103,,KES,419.18,2026-07-31
200104,,KES,867.38,2026-07-31
200301,,KES,4029.97,2026-07-31
200401,,KES,5004.7,2026-07-31
200501,,KES,12001.17,2026-07-31
200502,,KES,10057.86,2026-07-31
200503,,KES,3457.97,2026-07-31
200601,,KES,17353.15,2026-07-31
200602,,KES,5622.24,2026-07-31
200603,,KES,5739.03,2026-07-31
200604,,KES,7081.76,2026-07-31
200605,,KES,5605.35,2026-07-31
200606,,KES,949.55,2026-07-31
200607,,KES,3188.31,2026-07-31
200608,,KES,4811.93,2026-07-31
200609,,KES,2428.49,2026-07-31
200802,,KES,1238.78,2026-07-31
300101,,KES,2395.72,2026-07-31
300201,,KES,2785.02,2026-07-31
400101,,KES,16801.53,2026-07-31
400102,,KES,17718.31,2026-07-31
400103,,KES,12387.28,2026-07-31
400104,,KES,4209.81,2026-07-31
400105,,KES,15995.32,2026-07-31
400106,,KES,14833.83,2026-07-31
400107,,KES,6418.59,2026-07-31
400202,,KES,1213.76,2026-07-31
400301,,KES,5638.45,2026-07-31
400302,,KES,3133.06,2026-07-31
400401,,KES,1722.88,2026-07-31
400402,,KES,656.58,2026-07-31
