glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,LRD,1030.72,2026-07-31
101201,,LRD,395.44,2026-07-31
101301,,LRD,-352.83,2026-07-31
200101,,LRD,2576.97,2026-07-31
200102,,LRD,393.82,2026-07-31
200103,,LRD,115.07,2026-07-31
200104,,LRD,177.78,2026-07-31
200301,,LRD,1681.64,2026-07-31
200401,,LRD,1447.05,2026-07-31
200501,,LRD,2774.8,2026-07-31
200502,,LRD,2712.79,2026-07-31
200503,,LRD,892.95,2026-07-31
200601,,LRD,5048.66,2026-07-31
200602,,LRD,2498.63,2026-07-31
200603,,LRD,1601.49,2026-07-31
200604,,LRD,1539.25,2026-07-31
200605,,LRD,2161.81,2026-07-31
200606,,LRD,387.33,2026-07-31
200607,,LRD,1161.9,2026-07-31
200608,,LRD,1541.07,2026-07-31
200609,,LRD,728.44,2026-07-31
200802,,LRD,206.18,2026-07-31
300101,,LRD,1540.97,2026-07-31
300201,,LRD,1354.68,2026-07-31
400101,,LRD,2650.17,2026-07-31
400102,,LRD,3198.19,2026-07-31
400103,,LRD,1752.19,2026-07-31
400104,,LRD,603.85,2026-07-31
400105,,LRD,3675.89,2026-07-31
400106,,LRD,3296.03,2026-07-31
400107,,LRD,8551.19,2026-07-31
400202,,LRD,389.05,2026-07-31
400301,,LRD,1921.52,2026-07-31
400302,,LRD,955.26,2026-07-31
400401,,LRD,590.42,2026-07-31
400402,,LRD,241.55,2026-07-31
