glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,XOF,13606,2026-07-31
101201,,XOF,10109,2026-07-31
101301,,XOF,-7076,2026-07-31
200101,,XOF,50789,2026-07-31
200102,,XOF,9532,2026-07-31
200103,,XOF,2153,2026-07-31
200104,,XOF,4673,2026-07-31
200301,,XOF,40774,2026-07-31
200401,,XOF,22553,2026-07-31
200501,,XOF,56184,2026-07-31
200502,,XOF,62031,2026-07-31
200503,,XOF,15728,2026-07-31
200601,,XOF,141101,2026-07-31
200602,,XOF,33565,2026-07-31
200603,,XOF,43731,2026-07-31
200604,,XOF,36010,2026-07-31
200605,,XOF,32995,2026-07-31
200606,,XOF,5592,2026-07-31
200607,,XOF,21099,2026-07-31
200608,,XOF,23096,2026-07-31
200609,,XOF,19273,2026-07-31
200802,,XOF,5451,2026-07-31
300101,,XOF,9047,2026-07-31
300201,,XOF,10879,2026-07-31
400101,,XOF,106867,2026-07-31
400102,,XOF,121735,2026-07-31
400103,,XOF,75400,2026-07-31
400104,,XOF,25949,2026-07-31
400105,,XOF,88557,2026-07-31
400106,,XOF,85053,2026-07-31
400107,,XOF,41354,2026-07-31
400202,,XOF,6859,2026-07-31
400301,,XOF,34661,2026-07-31
400302,,XOF,18875,2026-07-31
400401,,XOF,14054,2026-07-31
400402,,XOF,3679,2026-07-31
