glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,MWK,13151,2026-07-31
101201,,MWK,6644,2026-07-31
101301,,MWK,-4298,2026-07-31
200101,,MWK,45637,2026-07-31
200102,,MWK,5502,2026-07-31
200103,,MWK,2025,2026-07-31
200104,,MWK,3317,2026-07-31
200301,,MWK,20350,2026-07-31
200401,,MWK,11227,2026-07-31
200501,,MWK,45562,2026-07-31
200502,,MWK,25984,2026-07-31
200503,,MWK,13606,2026-07-31
200601,,MWK,94931,2026-07-31
200602,,MWK,36364,2026-07-31
200603,,MWK,35141,2026-07-31
200604,,MWK,24082,2026-07-31
200605,,MWK,23891,2026-07-31
200606,,MWK,4976,2026-07-31
200607,,MWK,18396,2026-07-31
200608,,MWK,25633,2026-07-31
200609,,MWK,15234,2026-07-31
200802,,MWK,3868,2026-07-31
300101,,MWK,7961,2026-07-31
300201,,MWK,5297,2026-07-31
400101,,MWK,74729,2026-07-31
400102,,MWK,84049,2026-07-31
400103,,MWK,51675,2026-07-31
400104,,MWK,20289,2026-07-31
400105,,MWK,75676,2026-07-31
400106,,MWK,63935,2026-07-31
400107,,MWK,30575,2026-07-31
400202,,MWK,6766,2026-07-31
400301,,MWK,22410,2026-07-31
400302,,MWK,15131,2026-07-31
400401,,MWK,9326,2026-07-31
400402,,MWK,3404,2026-07-31
