glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,MZN,1077.53,2026-07-31
101201,,MZN,492.84,2026-07-31
101301,,MZN,-262.61,2026-07-31
200101,,MZN,2957.93,2026-07-31
200102,,MZN,466.17,2026-07-31
200103,,MZN,132.76,2026-07-31
200104,,MZN,249.73,2026-07-31
200301,,MZN,1157.97,2026-07-31
200401,,MZN,1400.82,2026-07-31
200501,,MZN,4470.17,2026-07-31
200502,,MZN,2369.05,2026-07-31
200503,,MZN,1089.16,2026-07-31
200601,,MZN,8837.84,2026-07-31
200602,,MZN,1993.6,2026-07-31
200603,,MZN,2354.16,2026-07-31
200604,,MZN,2110.18,2026-07-31
200605,,MZN,2661.67,2026-07-31
200606,,MZN,384.97,2026-07-31
200607,,MZN,1161.07,2026-07-31
200608,,MZN,2054.74,2026-07-31
200609,,MZN,774.43,2026-07-31
200802,,MZN,198.03,2026-07-31
300101,,MZN,1211.88,2026-07-31
300201,,MZN,1064.38,2026-07-31
400101,,MZN,3773.57,2026-07-31
400102,,MZN,4539.96,2026-07-31
400103,,MZN,2738.27,2026-07-31
400104,,MZN,1231.62,2026-07-31
400105,,MZN,4878.82,2026-07-31
400106,,MZN,4063.28,2026-07-31
400107,,MZN,9145.37,2026-07-31
400202,,MZN,388.77,2026-07-31
400301,,MZN,2778.81,2026-07-31
400302,,MZN,1376.7,2026-07-31
400401,,MZN,786.96,2026-07-31
400402,,MZN,153.82,2026-07-31
