glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,XOF,9258,2026-07-31
101201,,XOF,3846,2026-07-31
101301,,XOF,-1941,2026-07-31
200101,,XOF,25228,2026-07-31
200102,,XOF,3309,2026-07-31
200103,,XOF,1315,2026-07-31
200104,,XOF,1671,2026-07-31
200301,,XOF,8734,2026-07-31
200401,,XOF,13875,2026-07-31
200501,,XOF,27316,2026-07-31
200502,,XOF,24675,2026-07-31
200503,,XOF,7181,2026-07-31
200601,,XOF,59889,2026-07-31
200602,,XOF,17906,2026-07-31
200603,,XOF,18946,2026-07-31
200604,,XOF,15281,2026-07-31
200605,,XOF,14052,2026-07-31
200606,,XOF,2658,2026-07-31
200607,,XOF,6557,2026-07-31
200608,,XOF,11820,2026-07-31
200609,,XOF,6553,2026-07-31
200802,,XOF,2970,2026-07-31
300101,,XOF,16081,2026-07-31
300201,,XOF,17569,2026-07-31
400101,,XOF,21938,2026-07-31
400102,,XOF,35301,2026-07-31
400103,,XOF,15549,2026-07-31
400104,,XOF,5727,2026-07-31
400105,,XOF,48840,2026-07-31
400106,,XOF,50286,2026-07-31
400107,,XOF,20911,2026-07-31
400202,,XOF,3456,2026-07-31
400301,,XOF,29078,2026-07-31
400302,,XOF,10907,2026-07-31
400401,,XOF,4443,2026-07-31
400402,,XOF,1013,2026-07-31
