glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,NGN,81938.67,2026-07-31
101201,,NGN,18568.82,2026-07-31
101301,,NGN,-17686.69,2026-07-31
200101,,NGN,198359.63,2026-07-31
200102,,NGN,30994.97,2026-07-31
200103,,NGN,11182.1,2026-07-31
200104,,NGN,13373.81,2026-07-31
200301,,NGN,100706.11,2026-07-31
200401,,NGN,114327.86,2026-07-31
200501,,NGN,265450.45,2026-07-31
200502,,NGN,157182.35,2026-07-31
200503,,NGN,61995.12,2026-07-31
200601,,NGN,566226.69,2026-07-31
200602,,NGN,167347.18,2026-07-31
200603,,NGN,157048.56,2026-07-31
200604,,NGN,142021.05,2026-07-31
200605,,NGN,114244.26,2026-07-31
200606,,NGN,18786.5,2026-07-31
200607,,NGN,78921.29,2026-07-31
200608,,NGN,114312.84,2026-07-31
200609,,NGN,56125.51,2026-07-31
200802,,NGN,15919.75,2026-07-31
300101,,NGN,35627.4,2026-07-31
300201,,NGN,27344.27,2026-07-31
400101,,NGN,385603.67,2026-07-31
400102,,NGN,448663.4,2026-07-31
400103,,NGN,275488.97,2026-07-31
400104,,NGN,99873.29,2026-07-31
400105,,NGN,357113.22,2026-07-31
400106,,NGN,317188.82,2026-07-31
400107,,NGN,141503.85,2026-07-31
400202,,NGN,27122.17,2026-07-31
400301,,NGN,127507.36,2026-07-31
400302,,NGN,75960.08,2026-07-31
400303,,NGN,86357.14,2026-07-31
400401,,NGN,51825.26,2026-07-31
400402,,NGN,10167.93,2026-07-31
