glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,RWF,9347,2026-07-31
101201,,RWF,4734,2026-07-31
101301,,RWF,-3313,2026-07-31
200101,,RWF,36814,2026-07-31
200102,,RWF,3757,2026-07-31
200103,,RWF,1100,2026-07-31
200104,,RWF,2535,2026-07-31
200301,,RWF,13235,2026-07-31
200401,,RWF,12441,2026-07-31
200501,,RWF,39676,2026-07-31
200502,,RWF,24213,2026-07-31
200503,,RWF,4390,2026-07-31
200601,,RWF,69362,2026-07-31
200602,,RWF,19609,2026-07-31
200603,,RWF,26760,2026-07-31
200604,,RWF,16136,2026-07-31
200605,,RWF,19616,2026-07-31
200606,,RWF,3109,2026-07-31
200607,,RWF,13364,2026-07-31
200608,,RWF,21220,2026-07-31
200609,,RWF,12800,2026-07-31
200802,,RWF,3256,2026-07-31
300101,,RWF,14383,2026-07-31
300201,,RWF,13298,2026-07-31
400101,,RWF,55981,2026-07-31
400102,,RWF,62813,2026-07-31
400103,,RWF,37746,2026-07-31
400104,,RWF,13427,2026-07-31
400105,,RWF,49503,2026-07-31
400106,,RWF,46398,2026-07-31
400107,,RWF,21433,2026-07-31
400202,,RWF,3892,2026-07-31
400301,,RWF,16019,2026-07-31
400302,,RWF,11624,2026-07-31
400401,,RWF,6226,2026-07-31
400402,,RWF,1418,2026-07-31
