glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,SLE,161.29,2026-07-31
101201,,SLE,49.46,2026-07-31
101301,,SLE,-62.64,2026-07-31
200101,,SLE,467.63,2026-07-31
200102,,SLE,56.23,2026-07-31
200103,,SLE,23.1,2026-07-31
200104,,SLE,39.27,2026-07-31
200301,,SLE,325.28,2026-07-31
200401,,SLE,213.15,2026-07-31
200501,,SLE,490.81,2026-07-31
200502,,SLE,471.77,2026-07-31
200503,,SLE,157.97,2026-07-31
200601,,SLE,852.34,2026-07-31
200602,,SLE,353.26,2026-07-31
200603,,SLE,342.45,2026-07-31
200604,,SLE,216.13,2026-07-31
200605,,SLE,378.57,2026-07-31
200606,,SLE,60.53,2026-07-31
200607,,SLE,208.02,2026-07-31
200608,,SLE,283.09,2026-07-31
200609,,SLE,168.58,2026-07-31
200802,,SLE,60.85,2026-07-31
300101,,SLE,271.63,2026-07-31
300201,,SLE,179.45,2026-07-31
400101,,SLE,806.69,2026-07-31
400102,,SLE,968.92,2026-07-31
400103,,SLE,573.95,2026-07-31
400104,,SLE,212.92,2026-07-31
400105,,SLE,741.34,2026-07-31
400106,,SLE,663.48,2026-07-31
400107,,SLE,308.2,2026-07-31
400202,,SLE,48.4,2026-07-31
400301,,SLE,276.38,2026-07-31
400302,,SLE,160.6,2026-07-31
400401,,SLE,81.04,2026-07-31
400402,,SLE,24.14,2026-07-31
