glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,SSP,2428,2026-07-31
101201,,SSP,1228,2026-07-31
101301,,SSP,-744,2026-07-31
200101,,SSP,9245,2026-07-31
200102,,SSP,1074,2026-07-31
200103,,SSP,337,2026-07-31
200104,,SSP,623,2026-07-31
200301,,SSP,2909,2026-07-31
200401,,SSP,4297,2026-07-31
200501,,SSP,8946,2026-07-31
200502,,SSP,6074,2026-07-31
200503,,SSP,1747,2026-07-31
200601,,SSP,16247,2026-07-31
200602,,SSP,5958,2026-07-31
200603,,SSP,5574,2026-07-31
200604,,SSP,4902,2026-07-31
200605,,SSP,5650,2026-07-31
200606,,SSP,1043,2026-07-31
200607,,SSP,3128,2026-07-31
200608,,SSP,4449,2026-07-31
200609,,SSP,2814,2026-07-31
200802,,SSP,575,2026-07-31
300101,,SSP,7054,2026-07-31
300201,,SSP,5578,2026-07-31
400101,,SSP,6221,2026-07-31
400102,,SSP,8157,2026-07-31
400103,,SSP,3987,2026-07-31
400104,,SSP,1715,2026-07-31
400105,,SSP,14186,2026-07-31
400106,,SSP,16788,2026-07-31
400107,,SSP,7314,2026-07-31
400202,,SSP,1148,2026-07-31
400301,,SSP,10608,2026-07-31
400302,,SSP,3846,2026-07-31
400401,,SSP,1445,2026-07-31
400402,,SSP,457,2026-07-31
