glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,XAF,5638,2026-07-31
101201,,XAF,2622,2026-07-31
101301,,XAF,-1640,2026-07-31
200101,,XAF,18007,2026-07-31
200102,,XAF,2046,2026-07-31
200103,,XAF,710,2026-07-31
200104,,XAF,1161,2026-07-31
200301,,XAF,7364,2026-07-31
200401,,XAF,9554,2026-07-31
200501,,XAF,23279,2026-07-31
200502,,XAF,16813,2026-07-31
200503,,XAF,2452,2026-07-31
200601,,XAF,31030,2026-07-31
200602,,XAF,11815,2026-07-31
200603,,XAF,15203,2026-07-31
200604,,XAF,11442,2026-07-31
200605,,XAF,11102,2026-07-31
200606,,XAF,1592,2026-07-31
200607,,XAF,7041,2026-07-31
200608,,XAF,6678,2026-07-31
200609,,XAF,4998,2026-07-31
200802,,XAF,1685,2026-07-31
300101,,XAF,11526,2026-07-31
300201,,XAF,11380,2026-07-31
400101,,XAF,14309,2026-07-31
400102,,XAF,22042,2026-07-31
400103,,XAF,11480,2026-07-31
400104,,XAF,3709,2026-07-31
400105,,XAF,35418,2026-07-31
400106,,XAF,34843,2026-07-31
400107,,XAF,13283,2026-07-31
400202,,XAF,2886,2026-07-31
400301,,XAF,18075,2026-07-31
400302,,XAF,7693,2026-07-31
400401,,XAF,2995,2026-07-31
400402,,XAF,953,2026-07-31
