glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,XOF,9401,2026-07-31
101201,,XOF,4205,2026-07-31
101301,,XOF,-4378,2026-07-31
200101,,XOF,35961,2026-07-31
200102,,XOF,6319,2026-07-31
200103,,XOF,1647,2026-07-31
200104,,XOF,2657,2026-07-31
200301,,XOF,22027,2026-07-31
200401,,XOF,15755,2026-07-31
200501,,XOF,54724,2026-07-31
200502,,XOF,42565,2026-07-31
200503,,XOF,11556,2026-07-31
200601,,XOF,108796,2026-07-31
200602,,XOF,35233,2026-07-31
200603,,XOF,26643,2026-07-31
200604,,XOF,26767,2026-07-31
200605,,XOF,32205,2026-07-31
200606,,XOF,3329,2026-07-31
200607,,XOF,17308,2026-07-31
200608,,XOF,17352,2026-07-31
200609,,XOF,11600,2026-07-31
200802,,XOF,5040,2026-07-31
300101,,XOF,20721,2026-07-31
300201,,XOF,17629,2026-07-31
400101,,XOF,55411,2026-07-31
400102,,XOF,66005,2026-07-31
400103,,XOF,42190,2026-07-31
400104,,XOF,15860,2026-07-31
400105,,XOF,66458,2026-07-31
400106,,XOF,59594,2026-07-31
400107,,XOF,23975,2026-07-31
400202,,XOF,4631,2026-07-31
400301,,XOF,81061,2026-07-31
400302,,XOF,21942,2026-07-31
400401,,XOF,8762,2026-07-31
400402,,XOF,2473,2026-07-31
