glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,TZS,27029,2026-07-31
101201,,TZS,7388,2026-07-31
101301,,TZS,-6013,2026-07-31
200101,,TZS,74416,2026-07-31
200102,,TZS,9255,2026-07-31
200103,,TZS,2771,2026-07-31
200104,,TZS,5294,2026-07-31
200301,,TZS,34758,2026-07-31
200401,,TZS,23471,2026-07-31
200501,,TZS,88929,2026-07-31
200502,,TZS,50776,2026-07-31
200503,,TZS,18823,2026-07-31
200601,,TZS,152714,2026-07-31
200602,,TZS,60961,2026-07-31
200603,,TZS,49065,2026-07-31
200604,,TZS,30001,2026-07-31
200605,,TZS,39452,2026-07-31
200606,,TZS,5959,2026-07-31
200607,,TZS,30148,2026-07-31
200608,,TZS,38476,2026-07-31
200609,,TZS,16097,2026-07-31
200802,,TZS,7923,2026-07-31
300101,,TZS,31489,2026-07-31
300201,,TZS,24189,2026-07-31
400101,,TZS,120573,2026-07-31
400102,,TZS,145352,2026-07-31
400103,,TZS,80562,2026-07-31
400104,,TZS,31451,2026-07-31
400105,,TZS,104767,2026-07-31
400106,,TZS,95627,2026-07-31
400107,,TZS,43938,2026-07-31
400202,,TZS,6613,2026-07-31
400301,,TZS,39321,2026-07-31
400302,,TZS,24841,2026-07-31
400401,,TZS,15958,2026-07-31
400402,,TZS,3012,2026-07-31
