glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,UGX,34343,2026-07-31
101201,,UGX,17310,2026-07-31
101301,,UGX,-15508,2026-07-31
200101,,UGX,126643,2026-07-31
200102,,UGX,16603,2026-07-31
200103,,UGX,7254,2026-07-31
200104,,UGX,9854,2026-07-31
200301,,UGX,69045,2026-07-31
200401,,UGX,69768,2026-07-31
200501,,UGX,142104,2026-07-31
200502,,UGX,117667,2026-07-31
200503,,UGX,32750,2026-07-31
200601,,UGX,273506,2026-07-31
200602,,UGX,96965,2026-07-31
200603,,UGX,62464,2026-07-31
200604,,UGX,65997,2026-07-31
200605,,UGX,73365,2026-07-31
200606,,UGX,15271,2026-07-31
200607,,UGX,32002,2026-07-31
200608,,UGX,70695,2026-07-31
200609,,UGX,36589,2026-07-31
200802,,UGX,13408,2026-07-31
300101,,UGX,40035,2026-07-31
300201,,UGX,34261,2026-07-31
400101,,UGX,227085,2026-07-31
400102,,UGX,230672,2026-07-31
400103,,UGX,155130,2026-07-31
400104,,UGX,49347,2026-07-31
400105,,UGX,220616,2026-07-31
400106,,UGX,179591,2026-07-31
400107,,UGX,83988,2026-07-31
400202,,UGX,16475,2026-07-31
400301,,UGX,64132,2026-07-31
400302,,UGX,38273,2026-07-31
400401,,UGX,20459,2026-07-31
400402,,UGX,8031,2026-07-31
