glAccountCode,orgUnitCode,currency,endingBalance,asOfDate
100101,,ZMW,322.61,2026-07-31
101201,,ZMW,136.19,2026-07-31
101301,,ZMW,-94.71,2026-07-31
200101,,ZMW,1271.97,2026-07-31
200102,,ZMW,202.41,2026-07-31
200103,,ZMW,67.22,2026-07-31
200104,,ZMW,103.6,2026-07-31
200301,,ZMW,657.97,2026-07-31
200401,,ZMW,523.9,2026-07-31
200501,,ZMW,1069.42,2026-07-31
200502,,ZMW,1004.2,2026-07-31
200503,,ZMW,203.51,2026-07-31
200601,,ZMW,2955.56,2026-07-31
200602,,ZMW,838.05,2026-07-31
200603,,ZMW,1028.02,2026-07-31
200604,,ZMW,702.07,2026-07-31
200605,,ZMW,910.77,2026-07-31
200606,,ZMW,99.11,2026-07-31
200607,,ZMW,570.59,2026-07-31
200608,,ZMW,616.6,2026-07-31
200609,,ZMW,337.33,2026-07-31
200802,,ZMW,157.32,2026-07-31
300101,,ZMW,778.93,2026-07-31
300201,,ZMW,558.14,2026-07-31
400101,,ZMW,1378.25,2026-07-31
400102,,ZMW,1614.8,2026-07-31
400103,,ZMW,1006.55,2026-07-31
400104,,ZMW,389.53,2026-07-31
400105,,ZMW,2050.57,2026-07-31
400106,,ZMW,1789.51,2026-07-31
400107,,ZMW,679.78,2026-07-31
400202,,ZMW,142.94,2026-07-31
400301,,ZMW,2272.23,2026-07-31
400302,,ZMW,673.12,2026-07-31
400401,,ZMW,240.65,2026-07-31
400402,,ZMW,108.71,2026-07-31
